Casenumber,BALR Date,Judge Name,Outcome,Race,Pretrial Rec,ASA rec,Def rec
6B02430581,2021-05-18,Etheridge,UPB,Unknown,ROR,NB,ROR HD
3B02438320,2021-05-18,Etheridge,HWOB,AA,NB,HD,ROR
1B02438577,2021-05-18,Etheridge,HWOB,AA,NB,NB,UPB with pretrial supervision
4B02436193,2021-05-18,Etheridge,HWOB,AA,NB,NB,UPB and stay away 
0B02438576,2021-05-18,Etheridge,HWOB,AA,NB,NB,UPB
4B02438300,2021-05-18,Etheridge,HWOB,AA,NB,NB,ROR
4B02430684,2021-05-18,Etheridge,HWOB,AA,NB,NB,UPB
6B02430707,2021-05-18,Etheridge,HWOB,AA,NB,NB,UPB
D07CR19003306,2021-05-18,Etheridge,HWOB,White,,,ROR
0B02434348,2021-05-18,Etheridge,UPB,White,ROR,NB,ROR
4B02433260,2021-05-19,Green,HWOB,Unknown,NB - high risk,"NB - Danger to  community, flight risk","Release $5,000 at 10%"
4B02438587,2021-05-19,Green,HWOB,AA,NB - high risk,NB - Danger to community,ROR
5B02438546,2021-05-19,Green,HWOB,AA,NB - high risk,NB - Danger to community,ROR
2B02438501,2021-05-19,Green,HWOB,White,NB - high risk,NB - Danger to community,"Release $5,000 at 10%"
5B02438581,2021-05-19,Green,HWOB,AA,NB - high risk,NB - Danger to community,ROR
6B02434109,2021-05-19,Green,ROR,AA,ROR,NB - Danger to community,ROR
1B02438535,2021-05-20,Studdard,ROR,AA,ROR - moderate risk,NB,ROR
NA - 2103252,2021-05-20,Studdard,HWOB,,NB - high risk,NB,No recommendation
6B02433486,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,UPB
4b02412246,2021-05-20,Studdard,HWOB,AA,NB - high risk,ROR - Stay away,UPB
0b02438534,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,UPB
2B02430731,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,UPB
5b02414263,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,Bail
3B02438348,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,UPB
1B02430702,2021-05-20,Studdard,ROR,AA,ROR - high risk,NB,ROR or UPB
6B02433276,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,UPB or Bail
5B02430650,2021-05-20,Studdard,HWOB,AA,NB - high risk,NB,UPB
